id,score
82750f1b9d1223508ee329d47e27d35176c93eb9f35e9c1a,0.0001
f000950527a6feb670cc1c87c2025f3922aaa4a0206a0a33,0.0002
e9f7b28ec10e04700ef4db75a494f9a1e8e8b09555e6afa1,0.0003
beb4aaaa89e0a0ae9d77bd5d7665be6342f552f51840cf19,0.0004
e9f7b28ec10e0470ee4172cec0133b6826c34f27d3dff204,0.0005
d8071a739aa75a3ba10ae8205ae3c7b267bdbe32cd6cb582,0.0006
f000950527a6feb63dcc53f7fc8ccac0eb92d37b34f18854,0.0007
4a8fc4f3fb4d8a0ff806928b39e9b5e776d9b0d2d32bce0a,0.0008
f000950527a6feb678e9430f14270a010ec5e747a694829a,0.0009
d8071a739aa75a3bb4ea6cf0f8ce3b13082101f40a426037,0.001
8f19388cfd6e2b9c1245cd2b699345995d8983b74a3e1f98,0.0011
da8691b210adb3f650c6cf12438085a7b6a3fa62e4806333,0.0012
da8691b210adb3f62d73891e5769ab06c8bfad96fa50778f,0.0013
f000950527a6feb6dc5fea352959ce7a91b1a31843cc2042,0.0014
f000950527a6feb655bd97953a1686480289fcb12ab193f0,0.0015
516ab81418ed215dbf53c2d4e3d8e4c41e3ded65e5488128,0.0016
beb4aaaa89e0a0ae25ca69a05a0a98b61b6904fba82af3c1,0.0017
d8071a739aa75a3b5e86ec27db851adf4b918ec69eb2ad7a,0.0018
f000950527a6feb6dc7742533476c3c4cac8b73ae70bba55,0.0019
da8691b210adb3f6aa6a0dc8c49a7ab6c5c147166f1814bb,0.002
f000950527a6feb62a3aeaff423d389389671b050d2e7e41,0.0021
f000950527a6feb6ce9820790c60cd8067cf2230c1f92042,0.0022
da8691b210adb3f6768acc16c1680dd37c53dec6c7110778,0.0023
f000950527a6feb673902053c9d423b83fde557412062a24,0.0024
d8071a739aa75a3b4c3e522b106e841a5ba6c383f0484714,0.0025
d8071a739aa75a3bc8b1cbc0701ffbf91045921a9fc588cf,0.0026
ed38190adf12fceba12f54c2e462909039f760602019e698,0.0027
f000950527a6feb672674e03f0677ee12a3b907e7589ec1d,0.0028
da8691b210adb3f6ed9ceaa4f3567233848096066c1b3ab6,0.0029
516ab81418ed215d7fe43608f515e624e2205dc807091821,0.003
47645761dc56bb8c6c2f0ef187b56b89a52148f3f51f2cb6,0.0031
8f19388cfd6e2b9c5b98a9d103880b27bff4d66929cd6f3e,0.0032
d8071a739aa75a3bc4b04099403dbe065550132da5653998,0.0033
59b38c56de383683428a7abb3662f7e25e8cf7c5749e5ee4,0.0034
f000950527a6feb64f5d0aad51233ed4b29b005f70bf4f14,0.0035
755db3b5c5f74eb4b4e00a26ec567e1ec47f75b0529fa452,0.0036
9c7fa510616a68300e9d1997499f984945e70dd42dedfbcb,0.0037
82750f1b9d1223502cdde9ba782cad55e52842584fe34e78,0.0038
516ab81418ed215d048d70f0e43a5573f742325f0a8cb023,0.0039
f000950527a6feb69557ec3b6b4d7f6ad964e06bfbafa1bc,0.004
47645761dc56bb8c0be4732a17174a7f994b7492f14a9494,0.0041
beb4aaaa89e0a0ae043f3a126c8e6f24585d96174f349416,0.0042
f1c1045b13d183294cb3eb851abb8a4890b898ac148b3142,0.0043
f000950527a6feb6d02c3133fd0f425657dd851d5aca2e5c,0.0044
beb4aaaa89e0a0ae4fe8f7b3a488fba55a5c60aaaa22f630,0.0045
beb4aaaa89e0a0ae7b7381002f4078511c1a0e912f33fbac,0.0046
6ed384375c4a5eec34183a6aff27e3976f32bd70340e5fdc,0.0047
8f19388cfd6e2b9c0e19c6ee359b49bbe928becefb1cc726,0.0048
47645761dc56bb8c5ac7fb1c413f73ab0b240b23b42a09bc,0.0049
f000950527a6feb6db02d8ab5d0e6c5f0964709512fe3119,0.005
82750f1b9d12235004be87feb5a5d775162da92daae97b9a,0.0051
e9f7b28ec10e0470e39f753e99576aed4f20c01312064af3,0.0052
f000950527a6feb67c57f37b3bd8442e19d1318911e68e9f,0.0053
e9f7b28ec10e047089da56e946badaf8478af24af225838e,0.0054
47645761dc56bb8cc8042dd5066204df8d0eefa8c6b8b367,0.0055
82750f1b9d1223500d60e29d349d05a58e7619b909c95503,0.0056
59b38c56de383683fbf0391346de363a8c529780e7ba7156,0.0057
47645761dc56bb8c60ccde59481041938d2e1ca8cfbc885c,0.0058
